"GEMMA-naam","GGM-naam","GEMMA-guid","GGM-guid","GEMMA-type","GGM-uml-type","GEMMA-definitie","GGM-definitie","GEMMA-toelichting","GGM-toelichting","GEMMA-synoniemen","GGM-synoniemen","GEMMA-bron","GGM-bron","GEMMA URL","GEMMA-alternate-name","Datum-tijd-export"
"Werknemer",,"8c200706-b80b-44f7-9928-bec39e0db21f","{BBBB63AC-B546-409b-B6D4-53DB561253B7}","business-object","Class","De contractuele wederpartij van de werkgever bij de arbeidsovereenkomst.",,,,,,,,"https://gemmaonline.nl/index.php/GEMMA2/0.9/id-8c200706-b80b-44f7-9928-bec39e0db21f",,"2024-03-28"
"OpenbareActiviteit",,"9ffbd7f6-a815-4edd-9252-5ed7e873c6a0","{B2B423C3-B9C9-4b4f-A47D-85D29417B9B4}","business-object","Class","Activiteit in het publieke domein",,,,,,,,"https://gemmaonline.nl/index.php/GEMMA2/0.9/id-9ffbd7f6-a815-4edd-9252-5ed7e873c6a0",,"2024-03-28"
"Aanvraag",,"b8b3fe1a-ea07-49a3-8580-4291afa6f26d","{446E3931-B9F2-4b5c-80E7-5B240B8F816F}","business-object","Class","(officieel) verzoek, iets (officieel) vragen aan een bevoegde macht.",,,,"Verzoek",,,,"https://gemmaonline.nl/index.php/GEMMA2/0.9/id-b8b3fe1a-ea07-49a3-8580-4291afa6f26d","Aanvraag (ICT)","2024-03-28"
"Magazijnplaatsing",,"b46a7928-928b-4ad4-9c27-f3d112073ea0","{F954FB72-AE88-4a0e-A3D8-555FCF8D9C9F}","business-object","Class","Het ergens neerzetten van een object in een magazijn.",,,,,,,,"https://gemmaonline.nl/index.php/GEMMA2/0.9/id-b46a7928-928b-4ad4-9c27-f3d112073ea0",,"2024-03-28"
"Binnenlocatie",,"cda4149f-f0a0-44d9-b893-25bcce04d20d","{6508657D-7C3F-4261-B647-5D3B077A20F9}","business-object","Class","Locatie binnen een gebouw",,,,,,,,"https://gemmaonline.nl/index.php/GEMMA2/0.9/id-cda4149f-f0a0-44d9-b893-25bcce04d20d",,"2024-03-28"
"Inschrijving",,"5e8930d4-8f06-4075-bf2b-31f45ee86dbc","{CFFD5F20-5FA9-4d93-AD34-6867D64A58B9}","business-object","Class","Deelname van iemand aan een opleiding bij een onderwijsinstelling.",,,,,,,,"https://gemmaonline.nl/index.php/GEMMA2/0.9/id-5e8930d4-8f06-4075-bf2b-31f45ee86dbc","Inschrijving (Onderwijs)","2024-03-28"
"Commissie",,"62126697-6498-4c0a-a84e-2275138c2eaa","{CB27D699-F82B-45ad-823A-B2B51BCAECBA}","business-object","Class","Een groep mensen die is samengesteld om een specifieke taak, opdracht of onderzoek uit te voeren","Toine deze is voor jou",,,,,,,"https://gemmaonline.nl/index.php/GEMMA2/0.9/id-62126697-6498-4c0a-a84e-2275138c2eaa",,"2024-03-28"
"Leerling",,"e2ea124f-56ce-4614-9e32-0f13371a5ede","{266057AF-58BD-42e1-B4D5-16EB266B9B7A}","business-object","Class","Mens die een opleiding volgt, heeft gevolgd of gaat volgen of opgaat of is opgegaan voor een toets. (Bron: KOI)",,,,"Onderwijsvolger",,,,"https://gemmaonline.nl/index.php/GEMMA2/0.9/id-e2ea124f-56ce-4614-9e32-0f13371a5ede",,"2024-03-28"
"Begrotingregel",,"ecb0f96e-e66d-48fb-ade1-416366d1b18e","{87964E36-9FEE-4b8f-A053-C4EDAF000646}","business-object","Class","Een item op de begroting",,"Een begrotingsregel betreft #. een combinatie van hoofdstuk met optioneel doelstelling met optioneel product of #. een kostenplaats met 1 of meer hoofdrekeningen",,,,,,"https://gemmaonline.nl/index.php/GEMMA2/0.9/id-ecb0f96e-e66d-48fb-ade1-416366d1b18e",,"2024-03-28"
"Traject",,"99429638-0270-43f5-8193-409379bc10e5","{AB20D9F3-FBEB-4d10-A8A5-429F0AB8432F}","business-object","Class","Samenstel van achtereenvolgens uit te voeren en onderling samenhangende deelhandelingen of van opeenvolgende stadia in een proces, voorgesteld als een route die via opeenvolgende bestemmingen naar de eindbestemming voert.",,,,,,,,"https://gemmaonline.nl/index.php/GEMMA2/0.9/id-99429638-0270-43f5-8193-409379bc10e5","Traject (Participatie)","2024-03-28"
