"folder","name","type","documentation","id","ggm-guid","ggm-uml-type","ggm-datum-tijd-export","Let op","Object ID","GEMMA URL","synoniemen","alternate name","bron","Meer specifiek"
"/Business/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","Werknemer","business-object","De contractuele wederpartij van de werkgever bij de arbeidsovereenkomst.","id-0055aa89ea4a436ca00b5b930ce235d7","{BBBB63AC-B546-409b-B6D4-53DB561253B7}","Class","06112023-07:59:13","""ggm-"" properties worden beheerd in het GGM informatiemodel","8c200706-b80b-44f7-9928-bec39e0db21f","https://redactie.gemmaonline.nl/index.php/GEMMA2/0.9/id-6f15e2ca-531d-4879-b087-f43559d8c3fd",,,,
"/Business/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","OpenbareActiviteit","business-object","Activiteit in het publieke domein","id-00d9ab50ad9c4b6e95f6f487a6169881","{B2B423C3-B9C9-4b4f-A47D-85D29417B9B4}","Class","06112023-07:59:13","""ggm-"" properties worden beheerd in het GGM informatiemodel","9ffbd7f6-a815-4edd-9252-5ed7e873c6a0","https://redactie.gemmaonline.nl/index.php/GEMMA2/0.9/id-6f15e2ca-531d-4879-b087-f43559d8c3fd",,,,
"/Business/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","Aanvraag","business-object","(officieel) verzoek, iets (officieel) vragen aan een bevoegde macht.","id-010e27e8116f407e94fdf4665bddf724","{446E3931-B9F2-4b5c-80E7-5B240B8F816F}","Class","06112023-07:59:13","""ggm-"" properties worden beheerd in het GGM informatiemodel","b8b3fe1a-ea07-49a3-8580-4291afa6f26d","https://redactie.gemmaonline.nl/index.php/GEMMA2/0.9/id-6f15e2ca-531d-4879-b087-f43559d8c3fd","Verzoek","Aanvraag (ICT)",,
"/Business/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","Magazijnplaatsing","business-object","Het ergens neerzetten van een object in een magazijn.","id-0110f94c0ebb4ae39c28ff69e05b4f38","{F954FB72-AE88-4a0e-A3D8-555FCF8D9C9F}","Class","06112023-07:59:13","""ggm-"" properties worden beheerd in het GGM informatiemodel","b46a7928-928b-4ad4-9c27-f3d112073ea0","https://redactie.gemmaonline.nl/index.php/GEMMA2/0.9/id-6f15e2ca-531d-4879-b087-f43559d8c3fd",,,,
"/Business/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","Binnenlocatie","business-object","Locatie binnen een gebouw","id-0145411e6f1d45ad85ed2a30c66c5fd2","{6508657D-7C3F-4261-B647-5D3B077A20F9}","Class","06112023-07:59:13","""ggm-"" properties worden beheerd in het GGM informatiemodel","cda4149f-f0a0-44d9-b893-25bcce04d20d","https://redactie.gemmaonline.nl/index.php/GEMMA2/0.9/id-6f15e2ca-531d-4879-b087-f43559d8c3fd",,,,
"/Business/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","Inschrijving","business-object","Deelname van iemand aan een opleiding bij een onderwijsinstelling.","id-015e94bea0744e8b9d4b49f3eaa3df64","{CFFD5F20-5FA9-4d93-AD34-6867D64A58B9}","Class","06112023-07:59:13","""ggm-"" properties worden beheerd in het GGM informatiemodel","5e8930d4-8f06-4075-bf2b-31f45ee86dbc","https://redactie.gemmaonline.nl/index.php/GEMMA2/0.9/id-6f15e2ca-531d-4879-b087-f43559d8c3fd",,"Inschrijving (Onderwijs)",,
"/Business/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","Commissie","business-object","Een groep mensen die is samengesteld om een specifieke taak, opdracht of onderzoek uit te voeren","id-02a929666f3a4c08b764b668d126e001","{CB27D699-F82B-45ad-823A-B2B51BCAECBA}","Class","06112023-07:59:13","""ggm-"" properties worden beheerd in het GGM informatiemodel","62126697-6498-4c0a-a84e-2275138c2eaa","https://redactie.gemmaonline.nl/index.php/GEMMA2/0.9/id-6f15e2ca-531d-4879-b087-f43559d8c3fd",,,,
"/Business/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","Leerling","business-object","Mens die een opleiding volgt, heeft gevolgd of gaat volgen of opgaat of is opgegaan voor een toets. (Bron: KOI)","id-02e598c278af4227b0efcc526b967ef8","{266057AF-58BD-42e1-B4D5-16EB266B9B7A}","Class","06112023-07:59:13","""ggm-"" properties worden beheerd in het GGM informatiemodel","e2ea124f-56ce-4614-9e32-0f13371a5ede","https://redactie.gemmaonline.nl/index.php/GEMMA2/0.9/id-6f15e2ca-531d-4879-b087-f43559d8c3fd","Onderwijsvolger",,,
"/Business/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","Begrotingregel","business-object","Een item op de begroting","id-036d7ad3033544f5ab0952dedf376c0a","{87964E36-9FEE-4b8f-A053-C4EDAF000646}","Class","06112023-07:59:13","""ggm-"" properties worden beheerd in het GGM informatiemodel","ecb0f96e-e66d-48fb-ade1-416366d1b18e","https://redactie.gemmaonline.nl/index.php/GEMMA2/0.9/id-6f15e2ca-531d-4879-b087-f43559d8c3fd",,,,
"/Business/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","Traject","business-object","Samenstel van achtereenvolgens uit te voeren en onderling samenhangende deelhandelingen of van opeenvolgende stadia in een proces, voorgesteld als een route die via opeenvolgende bestemmingen naar de eindbestemming voert.","id-03972958be3a4c7e86bb0f4983da203e","{AB20D9F3-FBEB-4d10-A8A5-429F0AB8432F}","Class","06112023-07:59:13","""ggm-"" properties worden beheerd in het GGM informatiemodel","99429638-0270-43f5-8193-409379bc10e5","https://redactie.gemmaonline.nl/index.php/GEMMA2/0.9/id-6f15e2ca-531d-4879-b087-f43559d8c3fd",,"Traject (Participatie)",,
