"folder","name","type","documentation","id","ggm-guid","ggm-datum-tijd-export","ggm-uml-type","Let op","Object ID","toelichting","source.name","source.type","target.name","target.type","source.id","target.id","source.prop.Object ID","target.prop.Object ID","accessType","associationDirected","influenceStrength"
"/Relations/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","onderdeel van","association-relationship","","id-0007ec99437c425aad004a2576b46694","{36F38F1C-2F35-4088-A9E7-35BF53C3E709}","06112023-07:59:13","Association","""ggm-"" properties worden beheerd in het GGM informatiemodel","0a2afdc2-7f28-4102-97b8-e0df995999db",,"Brede Intake","business-object","Inburgeringstraject","business-object","id-6dc9d604edca488bb5a5c0bedd648c07","id-4fe3debd52264c8a97eb6d0f717b7a6b","2d7f4231-96e8-4424-a656-c52473ea36dc","e1620918-61a7-4cef-b0e2-6b8e206608c8",,"true",
"/Relations/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","heeft behandeling","association-relationship","","id-00f2d669ed4840e1b98e1bb8c93c166d","{6D7DECEC-F17A-4ecb-B263-9AA07C56EF1E}","06112023-07:59:13","Association","""ggm-"" properties worden beheerd in het GGM informatiemodel","a755ef36-7a09-400e-8ba2-e25522354060",,"SociaalTeamDossier","business-object","Behandeling","business-object","id-3dcacd1c3bce4b8e8a8a12400232f204","id-5b0322d6755a4de1be1d0b61691d5093","276088a8-7dcf-4dd8-9450-bf677c7329ed","924f174b-0a98-4957-b087-781f548d18bc",,"true",
"/Relations/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","binnen","association-relationship","","id-02d3502b6e004f29924439609afa978c","{5F550A95-C5D4-49ad-9085-C03850713F40}","06112023-07:59:13","Association","""ggm-"" properties worden beheerd in het GGM informatiemodel","7dd266b1-eb9e-47fe-aba2-ada25370092f",,"Hoofdstuk","business-object","Periode","business-object","id-7002a918e09e46c280618a09d6662afc","id-b40b567a0b2b42fc9a12177e11128dcd","24693ea2-5032-4c71-a9c7-945b3ac90530","fd2221c7-0cf4-47e1-a313-ec476a6592da",,"true",
"/Relations/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","betreft","association-relationship","","id-03165fbc184e49e88869ca375902a9a6","{A14EADAB-63B6-423d-9626-349B5B564118}","06112023-07:59:13","Association","""ggm-"" properties worden beheerd in het GGM informatiemodel","facb367e-7061-4bfd-8c19-633782b114c6",,"Verzoek","business-object","Projectlocatie","business-object","id-b7c863bc54a540d695e5702fbfc72b43","id-cc605b694e754dad85416fec06c96724","6f0e6db2-3ca2-48db-a370-9aacdfcd4c29","f1461f1c-503e-47ba-a1e7-43204103b356",,"true",
"/Relations/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","Afgerond met","association-relationship","","id-037ea378b19b445eb47c4e7f8344b55a","{61E77119-7B76-4855-9CFE-39C02A9AB2E8}","06112023-07:59:13","Association","""ggm-"" properties worden beheerd in het GGM informatiemodel","4b84c6cc-9286-4336-b65d-b228ed977702",,"Examen","business-object","Inburgeringstraject","business-object","id-a7336a6bf42f45cd85cc25d06a7f7939","id-4fe3debd52264c8a97eb6d0f717b7a6b","ccce5500-2140-4928-9716-0132a31e9686","e1620918-61a7-4cef-b0e2-6b8e206608c8",,"true",
"/Relations/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","onderkent leefgebiieden","association-relationship","","id-039dfba545bb46d0bbcdcd840370dbac","{CA494862-38C0-4098-8995-1953CABDDBF3}","06112023-07:59:13","Association","""ggm-"" properties worden beheerd in het GGM informatiemodel","fab3a1be-c9cb-442f-a15e-03135adee7f0",,"Zelfredzaamheidmatrix","business-object","Leefgebied","business-object","id-294a0b0241324962965b85a768741a7b","id-526be0ce41bf402094501ed02f610c8f","4f3a28d3-464a-42c3-97e1-39231e5f7bf1","c80348b6-b173-41ab-9bf6-3a1a780d0fb3",,"true",
"/Relations/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","betreft","association-relationship","","id-03a6713c162d449a974e43024b8b7f4a","{9A2326F8-F317-4492-B873-43D70AC148E2}","06112023-07:59:13","Association","""ggm-"" properties worden beheerd in het GGM informatiemodel","d7f93a65-14fa-4df9-9101-daf1ce1a246a",,"Verzoek","business-object","Project","business-object","id-b7c863bc54a540d695e5702fbfc72b43","id-19d45be1e7a546ea99dae36a845b2930","6f0e6db2-3ca2-48db-a370-9aacdfcd4c29","14baf353-fdc5-458c-9a2e-66b3ec04d9d0",,"true",
"/Relations/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","is contactpersoon voor","association-relationship","<font color=""#610e6a"">De MEDEWERKER die anderen desgevraagd in contact brengt met (andere) medewerkers van deze ORGANISATORISCHE EENHEID.</font>","id-03bd6b7b69c14fd9b7cd06731d07c0ba","{7FBB7F66-64B4-40dd-9628-02202FF00FB1}","06112023-07:59:13","Association","""ggm-"" properties worden beheerd in het GGM informatiemodel","5a2a3f00-a45f-4c21-b7f8-a8a274b3619a",,"MEDEWERKER","business-object","ORGANISATORISCHE EENHEID","business-object","id-684639d1fa474c16b25dc862f63e357c","id-f8ed8b74446b40708e785d8d4eecc67b","6cc6afe6-e4c6-4e2b-a359-f278b23700db","02f66265-00ae-418d-8d0e-dcbaf36652bb",,"true",
"/Relations/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","heeft","association-relationship","","id-0418fa6e9e5443b4a5c610ac75ba633c","{A9F63505-885F-4702-8652-2374F2A395FD}","06112023-07:59:13","Association","""ggm-"" properties worden beheerd in het GGM informatiemodel","6bc1e742-ac8d-48bc-8cc9-69551d2ec912",,"Hoofdstuk","business-object","Doelstelling","business-object","id-7002a918e09e46c280618a09d6662afc","id-34baff9c7ed44461a89db1dd76de1647","24693ea2-5032-4c71-a9c7-945b3ac90530","2bd07fb4-4cfb-4d89-ac99-cb2377decd2d",,"true",
"/Relations/_Sync GEMMA en project/GGM/Bedrijfsobjecten/","heeft","association-relationship","De verwijzing naar de VERBLIJFSTITEL die aangeeft over welke verblijfsrechtelijke status de ingezetene beschikt.","id-0515e4ea352648f5a924e3d3000a7d1f","{BB758CBA-3CE6-4bcc-BD0E-05CE964EE458}","06112023-07:59:13","Association","""ggm-"" properties worden beheerd in het GGM informatiemodel","bd7ed444-6797-4286-ad2f-8f35398c7ff3",,"INGEZETENE","business-object","VERBLIJFSTITEL","business-object","id-893e61065e3d48c3be5334489de30e6b","id-387b4663c48549f08f53a131d60efb22","c5e5f4f9-5bb6-4a9f-816b-e41abc770e86","fd0e38fd-ce78-454e-9d27-268a9e15ca40",,"true",
