"folder","name","type","documentation","id","Object ID","GGM-datum-tijd-export","Latest Sync Date","layout direction BO","layout direction DO","GEMMA type","GGM-type","GEMMA-GGM status"
"/Other/_Sync GEMMA en project/GGM/Beleidsdomeinen/","Dimensies","grouping","Bedrijfsobjecten die verschillende aspecten en categorieën van gemeentelijke gegevens representeren, zoals tijd, locatie, en organisatie.","id-02f854fbd2f14fc9807b0e6cbc51dc99","969a015e-d051-4fdb-9a43-15fc93151571","10122024-112046","11/12/2024 11:05:02","LR","LR","Beleidsdomein","Beleidsdomein",
"/Other/_Sync GEMMA en project/GGM/Beleidsdomeinen/","Relatieklasse","grouping","","id-054049831b7d44eaa2c6fc590ed61f85","c6498dc2-6f3d-4810-b2ef-3088150ec978","10122024-112046","11/12/2024 11:05:02","LR","LR","Beleidsdomein","Beleidsdomein",
"/Other/_Sync GEMMA en project/GGM/Beleidsdomeinen/","Leerplicht en Leerlingenvervoer","grouping","Bedrijfsobjecten die betrekking hebben op het naleven van de leerplicht en het regelen van vervoer voor leerlingen.","id-0ad9c88197424c848b8a5ebbd06a4b44","9f01be16-0516-47ae-956a-c12b9de5b659","10122024-112046","11/12/2024 11:05:02","LR","LR","Beleidsdomein","Beleidsdomein",
"/Other/_Sync GEMMA en project/GGM/Beleidsdomeinen/","Sociaal Domein Generiek","grouping","Bedrijfsobjecten die breed toepasbaar zijn binnen het sociaal domein","id-10877c83892f4da2a3888f236927813d","a923c3bf-a94f-4142-8b70-c475e40054fc","10122024-112046","11/12/2024 11:05:02",,,"Beleidsdomein","Beleidsdomein","Nieuw"
"/Other/_Sync GEMMA en project/GGM/Beleidsdomeinen/","Onderwijs","grouping","Bedrijfsobjecten die de interactie tussen de gemeente en onderwijsinstellingen ondersteunen, zoals subsidies, leerplicht en leerlingenvervoer.","id-11bd01f42d7347fca8ca0177601709b9","2e1457be-6d61-4f85-96b7-a876cee1ea08","10122024-112046","11/12/2024 11:05:02","LR","LR","Beleidsdomein","Beleidsdomein",
"/Other/_Sync GEMMA en project/GGM/Beleidsdomeinen/","Vastgoed","grouping","Bedrijfsobjecten voor het beheer en de exploitatie van gemeentelijk vastgoed en eigendommen.","id-1a905266926c4b84b29f0a01125d92c4","0fd0eeb0-a8d6-4b2e-9ac1-730d43101c64","10122024-112046","11/12/2024 11:05:02","LR","LR","Beleidsdomein","Beleidsdomein",
"/Other/_Sync GEMMA en project/GGM/Beleidsdomeinen/","Metagegevens","grouping","","id-24890d6046704090b6cc7e9d24433e52","5d729c1e-9970-4b98-a548-c017d9963763","10122024-112046","11/12/2024 11:05:02","LR","LR","Beleidsdomein","Beleidsdomein",
"/Other/_Sync GEMMA en project/GGM/Beleidsdomeinen/","ICT","grouping","Bedrijfsobjecten die de ICT-infrastructuur en -diensten binnen de gemeente ondersteunen.","id-25c8fe5f0fc14d02b9261c5f4271b147","37319f42-fa63-45da-a4b6-532022ec025c","10122024-112046","11/12/2024 11:05:02","LR","LR","Beleidsdomein","Beleidsdomein",
"/Other/_Sync GEMMA en project/GGM/Beleidsdomeinen/","Inkoop","grouping","Bedrijfsobjecten die het inkoopproces ondersteunen, van aanbesteding tot contractbeheer.","id-275d7ce055f94ee490e5116de4d648a4","ab0d78d6-dfa6-4f71-a691-7974c0843eca","10122024-112046","11/12/2024 11:05:02","LR","LR","Beleidsdomein","Beleidsdomein",
"/Other/_Sync GEMMA en project/GGM/Beleidsdomeinen/","Datatypes","grouping","","id-2a38e3e9783541a1a0d2f8d911b8a550","46645567-1d2f-4785-bedc-e31a3e658e15","10122024-112046","11/12/2024 11:05:02",,,"Technisch","Beleidsdomein",
"/Other/_Sync GEMMA en project/GGM/Beleidsdomeinen/","Sport","grouping","Bedrijfsobjecten die betrekking hebben op de bevordering van sport en recreatie, zoals sportaccommodaties en verenigingsondersteuning.","id-2a550c415fe5429f8468d29b59d38b65","a777a1a0-94b0-4bbf-b3db-5e8f5e38eb3b","10122024-112046","11/12/2024 11:05:02","LR","LR","Beleidsdomein","Beleidsdomein",
"/Other/_Sync GEMMA en project/GGM/Beleidsdomeinen/","Referentielijsten","grouping","Bedrijfsobjecten die worden gebruikt om consistente en eenduidige waarden en categorieën vast te leggen in gemeentelijke processen en gegevensbeheer.","id-311ee91bcd324dee937953c600778fb3","0966266b-2c56-4add-849e-ae62a3ed3064","10122024-112046","11/12/2024 11:05:02","LR","LR","Beleidsdomein","Beleidsdomein",
"/Other/_Sync GEMMA en project/GGM/Beleidsdomeinen/","Gemeentebegrafenissen","grouping","Bedrijfsobjecten die het proces van gemeentelijke begrafenissen ondersteunen voor inwoners zonder nabestaanden.","id-379ec8d15c3341d18bfb17dbd37c73bf","b4422ff1-c7d2-4c9b-b7a4-36deb6885991","10122024-112046","11/12/2024 11:05:02","LR","LR","Beleidsdomein","Beleidsdomein",
"/Other/_Sync GEMMA en project/GGM/Beleidsdomeinen/","Sociale Teams","grouping","Bedrijfsobjecten die sociale teams en wijkgerichte zorg ondersteunen, met focus op welzijn en maatschappelijke hulp.","id-3cc927dadfd54a9392700822aa25fa13","210c7c98-be2f-4c0c-ae89-56e9c1244c40","10122024-112046","11/12/2024 11:05:02","LR","LR","Beleidsdomein","Beleidsdomein",
"/Other/_Sync GEMMA en project/GGM/Beleidsdomeinen/","Afval","grouping","Bedrijfsobjecten gerelateerd aan afvalinzameling, verwerking en beheer van milieuvriendelijke afvalverwerking.","id-3d1310fa3382405a97f9025c273ff225","d39f8174-c7b2-48ee-8b48-a9400fb9c83a","10122024-112046","11/12/2024 11:05:02","LR","LR","Beleidsdomein","Beleidsdomein",
"/Other/_Sync GEMMA en project/GGM/Beleidsdomeinen/","Inkomsten","grouping","Bedrijfsobjecten  worden om de inkomsten van een persoon vast te stellen","id-3f7574feb1cf47ff99ac40f78c314ca2","118bd2e3-d4c8-4b43-a6dd-50130d43f7be","10122024-112046","11/12/2024 11:05:02",,,"Beleidsdomein","Beleidsdomein","Nieuw"
