"GEMMA-naam","GGM-naam","GEMMA-guid","GGM-guid","GEMMA-type","GGM-uml-type","GEMMA-definitie","GGM-definitie","GEMMA-toelichting","GGM-toelichting","GEMMA-source-guid","GEMMA-target-guid","Datum-tijd-export"
"functie van formatieplaats",,"23114d50-cc20-4c06-8a9d-d83e485773ee","{FA8E1AC6-EB2C-4a69-A5B1-7F05B3CE3168}","association-relationship","Association","",,,,"bd504191-10c0-436a-b0e0-fd4858a7b67d","1f07a048-a6c6-4f10-be33-49327c1d37ec","11-12-2024 18:18:03"
"toegewezen aan",,"0700334b-02c8-40f1-8da0-1b8885a030a9","{C886E8C0-39ED-477b-A430-B7577E0A3238}","association-relationship","Association","",,,,"bd504191-10c0-436a-b0e0-fd4858a7b67d","a3e45dca-c075-4ba9-9df2-d286b47f73ab","11-12-2024 18:18:03"
"heeft verzuim",,"7b47f9d0-02cf-486b-a153-dfebe31b2f23","{7702C4F6-A0C5-44d0-9857-96B1F62FD27F}","association-relationship","Association","",,"nan",,"8c200706-b80b-44f7-9928-bec39e0db21f","c024eb06-53f7-4793-91d6-6e249ee119dc","11-12-2024 18:18:03"
"heeft verlof",,"5342d9d1-5bd3-46bc-a78f-e9bd9b053643","{A4816678-4407-46e7-B5EC-2FEAB323A83A}","association-relationship","Association","",,"nan",,"8c200706-b80b-44f7-9928-bec39e0db21f","9ba143bc-5214-4998-9041-b3dc1c22fe77","11-12-2024 18:18:03"
"solliciteert",,"76582d91-7e3c-4efc-befc-d07cdd39fe81","{D49B7ECE-0089-4d69-970C-8AB585251F66}","association-relationship","Association","",,"nan",,"8c200706-b80b-44f7-9928-bec39e0db21f","3dbc7681-e73c-46c5-80bc-434afc971eef","11-12-2024 18:18:03"
"heeft",,"a83259ac-60d3-412b-9566-67a8389dd5b0","{58514271-87E3-4f5f-A3E4-AF251AA7D9C9}","association-relationship","Association","",,,,"8c200706-b80b-44f7-9928-bec39e0db21f","4adcc34d-9843-4735-9abb-48d9d58eab0c","11-12-2024 18:18:03"
"is partner van",,"1cbf5573-5e8f-4914-a34b-c7db0866017f","{04C60911-78B7-4a60-BF69-BF5722278217}","association-relationship","Association","",,,,"8c200706-b80b-44f7-9928-bec39e0db21f","24e40e1f-4e7b-47ad-a1b3-4050e365f68a","11-12-2024 18:18:03"
"heeft genoten",,"5a15e286-dc33-49e6-ae32-2552e4763c6e",,"association-relationship",,"",,,,"8c200706-b80b-44f7-9928-bec39e0db21f","affa85b2-1e80-4642-bb30-335dd9677094","11-12-2024 18:18:03"
"heeft ondergaan",,"df17958e-39e0-4dfa-997f-07fb77590046","{8AF83985-ABFC-4a38-95D3-CB368AA680BA}","association-relationship","Association","",,"nan",,"8c200706-b80b-44f7-9928-bec39e0db21f","fddeb5c4-571e-45ec-8bde-86cc9702ff18","11-12-2024 18:18:03"
"heeft maatregel",,"9aaea699-9949-405b-9fca-efbfbd1989f8","{68D387CF-74AA-4219-8B64-52D7FE6A8DC5}","association-relationship","Association","",,"nan",,"8c200706-b80b-44f7-9928-bec39e0db21f","fd61984f-002e-465f-90c7-6a68cc692094","11-12-2024 18:18:03"
"medewerker heeft dienstverband",,"03d6f596-0237-468b-88de-f651d9736896","{8AB912F9-CF51-4288-85FB-DC19C1E92659}","association-relationship","Association","",,"nan",,"8c200706-b80b-44f7-9928-bec39e0db21f","a3e45dca-c075-4ba9-9df2-d286b47f73ab","11-12-2024 18:18:03"
"dient in",,"d95fa226-20d7-4592-8566-256692efc1ee","{89425B69-C330-426d-B0E5-9C8C5EF6310E}","association-relationship","Association","",,,,"8c200706-b80b-44f7-9928-bec39e0db21f","93ffe408-fc04-407e-ad78-1afb51b5229e","11-12-2024 18:18:03"
"beoordeling van",,"91ba91b3-1a5a-4f38-981f-87045fa74fb9","{6357FC97-EE14-4c30-BCC3-6903DF51DA36}","association-relationship","Association","",,"nan",,"8c200706-b80b-44f7-9928-bec39e0db21f","2f8612e6-df55-40f2-a8d1-e51b22b5cf9d","11-12-2024 18:18:03"
"Beoordeelt door",,"047440e9-3ec3-42c0-883b-2aae7f6fa3de","{24BF4DCE-5DDC-4c1b-92F0-EFADF4BE03B9}","association-relationship","Association","",,"nan",,"8c200706-b80b-44f7-9928-bec39e0db21f","2f8612e6-df55-40f2-a8d1-e51b22b5cf9d","11-12-2024 18:18:03"
"doet sollicitatiegesprek",,"874f22ca-5ef2-4229-afea-dea76fd4b0f7","{5E83AD01-AAD7-4d8b-9F09-4180F84BF53B}","association-relationship","Association","",,"nan",,"565033f9-9a69-4d65-ad37-f1d17ea3e937","8c200706-b80b-44f7-9928-bec39e0db21f","11-12-2024 18:18:03"
