Nr,naam,definitie,uml-type,ggm-guid,bron,toelichting,domein-iv3,archimate-type,gemma-guid,synoniemen,domein-dcat,domein-gemma
0,Aantekening,,Class,{755B80B2-6522-4c58-A998-D3F00859FE78},,,RSGB Model,,,,,
1,Adres Buitenland,"Toevoeging uit stelselcatalogus

",Class,{3E5B2877-D6CC-487e-BD79-042E32D17550},,,RSGB Model,,,,,
2,Briefadres,,Class,{3015DCE3-7C05-4160-A717-533553258C15},,,RSGB Model,,,,,
3,Onbestemd Adres,,Class,{75E93FC5-3EF8-40b6-B170-ED5A2C36B354},,,RSGB Model,,,,,
4,PersoonAlleenNaam,,Class,{A97054D8-FDCF-4513-B34F-E3DC343FA5E5},,,RSGB Model,,,,,
5,PersoonBSN,,Class,{9AEA61EB-86B2-49cc-B3EB-F40C9235B68C},,,RSGB Model,,,,,
6,PersoonBSNenNaw,,Class,{BE5C1D36-73FD-4419-82C8-0CDCB66D93F5},,,RSGB Model,,,,,
7,PersoonNAW,,Class,{44F0CC4A-59AF-44a8-AF0B-FF204C93E829},,,RSGB Model,,,,,
8,NUMMERAANDUIDING,"Een door het bevoegde gemeentelijke orgaan als zodanig toegekende aanduiding van een VERBLIJFSOBJECT, een STANDPLAATS of een LIGPLAATS.",Class,{31A87864-6CE0-4e93-A493-ECD0FBDD4461},Door KING toegevoegd objecttype (maakt geen deel uit van enige basisregistratie).,<memo>,RSGB Model,,,,,
9,APPARTEMENTSRECHT,"Een KADASTRALE ONROERENDE ZAAK dat een aandeel is in de 
goederen die in de splitsing zijn betrokken, dat de bevoegdheid omvat tot het uitsluitend gebruik van bepaalde gedeelten van het gebouw die blijkens hun inrichting bestemd zijn of worden om als afzonderlijk geheel te worden 
gebruikt (art. 5:106 lid 4 BW).",Class,{869E0A04-A663-4839-970D-7FB82DF6C317},BRK,<memo>,RSGB Model,,,,,
10,APPARTEMENTSRECHTSPLITSING,Het recht op een stuk grond of op een gebouw met toebehoren op de daarbij behorende grond met toebehoren is gesplitst in appartementsrechten.,Class,{C1542AC8-2F3C-4e62-ADFA-A9FB3358DAB1},BRK,<memo>,RSGB Model,,,,,
11,BEGROEID TERREINDEEL,"Kleinste functioneel onafhankelijk stukje van een terrein dat er binnen het objecttype Terrein van NEN 3610 wordt onderscheiden, met aaneengesloten homogene vegetatie.",Class,{D872C213-09D7-4dca-A020-EA363480FC7D},BGT,<memo>,RSGB Model,,,,,
12,BENOEMD OBJECT,Een GEBOUWD OBJECT of een BENOEMD TERREIN,Class,{3E9E08B7-574E-43dc-8D93-251BFA8F8D75},KING,<memo>,RSGB Model,,,,,
13,BENOEMD TERREIN,"Een STANDPLAATS, LIGPLAATS, of een OVERIG BENOEMD TERREIN.",Class,{73F1C4A1-481E-4052-A372-1A0895ED1295},Door KING toegevoegd objecttype (maakt geen deel uit van enige basisregistratie).,<memo>,RSGB Model,,,,,
14,BUURT,"Een aaneengesloten gedeelte van een wijk, waarvan de grenzen zo veel mogelijk gebaseerd zijn op topografische elementen.",Class,{67CC2144-6B88-433c-853D-07379C66D6CF},GFO BG,<memo>,RSGB Model,,,,,
15,Gebied,"Een aaneengesloten gedeelte van een wijk, waarvan de grenzen zo veel mogelijk gebaseerd zijn op topografische elementen.",Class,{5835F691-4452-44de-A1E9-07088AC16D69},GFO BG,<memo>,RSGB Model,,,,,
16,FUNCTIONEEL GEBIED,Begrensd en benoemd gebied dat door een functionele eenheid beschreven wordt.,Class,{B8F44180-1F2A-4bbc-8E17-6C472111A92B},IMGeo,<memo>,RSGB Model,,,,,
17,GEBOUWD OBJECT,Een VERBLIJFSOBJECT of een OVERIG GEBOUWD OBJECT,Class,{752621CC-D5CA-4f4c-A937-AF6C84E6ADED},Door KING toegevoegd objecttype (maakt geen deel uit van enige basisregistratie).,<memo>,RSGB Model,,,,,
18,GEBOUWINSTALLATIE,"Een component aan de buitenzijde van een gebouw, die het aanzicht van het gebouw mede bepaalt.",Class,{6FDC646C-F9E2-4610-8FFE-1ECFA99FFBD7},IMGeo,<memo>,RSGB Model,,,,,
19,GEMEENTE,"Een gedeelte van het grondgebied van Nederland, ingesteld op basis van artikel 123 van de Grondwet.",Class,{B0D9792B-46E7-4b88-B267-C72691616733},"Door KING toegevoegd objecttype, ontleend aan het GFO BG (maakt geen deel uit van enige basisregistratie).",<memo>,RSGB Model,,,,,
20,HUISHOUDEN,"Een duurzame samenlevingsvorm van een of meer natuurlijke personen binnen een VERBLIJFSOBJECT, STANDPLAATS of LIGPLAATS.",Class,{6FB0A5B7-7B5F-437f-A462-4B1EADB964E4},,,RSGB Model,,,,,
21,INRICHTINGSELEMENT,"Ruimtelijk object al dan niet ter detaillering dan wel ter inrichting van de
overige benoemde ruimtelijke objecten of een ander inrichtingselement.",Class,{4DA0EB59-963C-4558-B763-44F542BC8D89},IMGeo,<memo>,RSGB Model,,,,,
22,KADASTRAAL PERCEEL,"Een KADASTRALE ONROERENDE ZAAK dat een kadastraal geïdentificeerd en met kadastrale grenzen begrensd deel van het Nederlands grondgebied betreft (art. 1 lid 1 Kadasterwet). 
",Class,{172AFD36-B400-4660-BFAC-4BBC1077D666},BRK.,<memo>,RSGB Model,,,,,
23,KADASTRALE ONROERENDE ZAAK,Een geregistreerd goed waarvoor bij overdracht of vestiging van rechten inschrijving in de openbare registers van het Kadaster is vereist zijnde een KADASTRAAL PERCEEL of een APPARTEMENTSRECHT.,Class,{9775E778-DBF8-4122-94CE-551466B62F46},BRK,<memo>,RSGB Model,,,,,
24,INGESCHREVEN PERSOON,Een INGEZETENE of NIET-INGEZETENE,Class,{AF9534B0-7CBD-4061-9276-A7B6698B383A},,,RSGB Model,,,,,
25,KADASTRALE ONROERENDE ZAAK AANTEKENING,"Aanduiding van het feit, genoemd in een Stuk, dat betrekking heeft op een onroerende zaak en dat gevolgen kan hebben voor de uitoefening van rechten op de onroerende zaak.",Class,{0BC18F79-3560-4e43-8154-7CCDC7D67A03},BRK,<memo>,RSGB Model,,,,,
26,INGEZETENE,"Een individueel menselijk wezen, ingeschreven in het Nederlands Bevolkingsregister.",Class,{CA19D17F-3EB7-459d-9883-16F0C0B5D35E},,,RSGB Model,,,,,
27,KUNSTWERKDEEL,"Onderdeel van een civiel-technisch werk voor de infrastructuur van wegen, water, spoorbanen, waterkeringen en/of leidingen.",Class,{2EC96974-F21E-4bdb-AF4D-30D7091F5645},BGT,<memo>,RSGB Model,,,,,
28,LIGPLAATS,"Een door het bevoegde gemeentelijke orgaan als zodanig aangewezen plaats in het water al dan niet aangevuld met een op de oever aanwezig terrein of een gedeelte daarvan, die bestemd is voor het permanent afmeren van een voor woon-, bedrijfsmatige of recreatieve doeleinden geschikt vaartuig.",Class,{F4978264-32A5-4e70-97A8-D142B64400A8},BAG,<memo>,RSGB Model,,,,,
29,MAATSCHAPPELIJKE ACTIVITEIT,"Een verband tussen één of meer personen met voldoende mate van zelfstandigheid, inbreng van arbeid of middelen, winstoogmerk en extern optreden (i.g.v. een onderneming) dan wel een in een organisatorisch verband, dat toebehoort aan een niet-natuurlijk persoon welke registratieplichtig is, uitgeoefende activiteit die niet valt onder de criteria voor onderneming of bedrijfsmatigheid welke adresseerbaar is middels ofwel een vestiging ofwel het adres van een bepaalde vertegenwoordiger (i.g.v. een niet-ondernemings-activiteit).",Class,{3DC85114-5C3F-4930-B98B-6EB6ED71FC2E},NHR,<memo>,RSGB Model,,,,,
30,ADRESSEERBAAR OBJECT AANDUIDING,"Een door het bevoegde gemeentelijke orgaan als zodanig toegekende aanduiding van een VERBLIJFSOBJECT, een STANDPLAATS of een LIGPLAATS.",Class,{BA35A5E2-5A1D-4328-91CD-D51694ED5FBA},BAG,<memo>,RSGB Model,,,,,
31,ONBEGROEID TERREINDEEL,"Kleinste functioneel onafhankelijk stukje van een terrein, dat er binnen het objecttype Terrein van NEN 3610 wordt onderscheiden, zonder aaneengesloten vegetatie.",Class,{C32F1546-F793-4f13-91A4-2047E6DE6E91},BGT,<memo>,RSGB Model,,,,,
32,ONDERSTEUNEND WATERDEEL,Object dat in het kader van de waterhuishouding periodiek gedeeltelijk of geheel met water is bedekt.,Class,{7B92809F-CFAE-4be8-BE3A-4E4B94E83F52},BGT,<memo>,RSGB Model,,,,,
33,ONDERSTEUNEND WEGDEEL,Een deel van de weg dat niet primair bedoeld is voor gebruik door het verkeer.,Class,{F55A5977-7E3B-4cf4-B8D1-CFCEECA0DEA1},BGT,<memo>,RSGB Model,,,,,
34,OPENBARE RUIMTE,Een door het bevoegde gemeentelijke orgaan als zodanig aangewezen en van een naam voorziene buitenruimte die binnen één woonplaats is gelegen,Class,{FB13857C-C695-4b53-8060-BACFA0E16950},BAG,<memo>,RSGB Model,,,,,
35,OVERBRUGGINGSDEEL,"Onderdeel van een beweegbare of vaste verbinding tussen twee punten, die door water, een weg of anderszins gescheiden zijn, dat essentieel is voor de constructie.",Class,{2E45A5F3-A685-48c5-98D4-794BE382891E},BGT,<memo>,RSGB Model,,,,,
36,OVERIG BENOEMD TERREIN,"Een door het bevoegde gemeentelijke orgaan als zodanig aangewezen onbebouwd terrein of een gedeelte daarvan, geen standplaats of gedeelte van een ligplaats zijnde, dat bestemd is voor het gedurende langere tijd verrichten van een maatschappelijke activiteit.",Class,{CFA3D54E-C8E0-4559-9475-29D31AF2DECD},Door KING toegevoegd objecttype (maakt geen deel uit van enige basisregistratie).,<memo>,RSGB Model,,,,,
37,NATUURLIJK PERSOON,Een INGESCHREVEN PERSOON of ANDER NATUURLIJK PERSOON,Class,{9F4E12E4-B228-4931-AC83-1B1F60958A89},,,RSGB Model,,,,,
38,OVERIG BOUWWERK,"Met de aarde verbonden duurzaam bouwwerk, dat niet valt onder de definities van een pand of kunstwerk. ",Class,{1DA7BC25-CF02-4161-B9A2-DE0BE27C5254},BGT,<memo>,RSGB Model,,,,,
39,OVERIG GEBOUWD OBJECT,"De kleinste eenheid van gebruik, geen verblijfsobject zijnde, binnen een bij de totstandkoming functioneel en bouwkundig constructief zelfstandige eenheid die direct en duurzaam met de aarde is verbonden.",Class,{7CDF37D9-26D7-46a5-9CF3-392601BDCECA},KING,<memo>,RSGB Model,,,,,
40,NIET NATUURLIJK PERSOON,Een INGESCHREVEN NIET-NATUURLIJK PERSOON of een ANDER BUITENLANDS NIET-NATUURLIJK PERSOON,Class,{3D5CCB29-91E4-458e-8BCD-6741198E45B8},,,RSGB Model,,,,,
41,OVERIGE ADRESSEERBAAR OBJECT AANDUIDING,Een door de gemeenteraad als zodanig toegekende aanduiding van een overig gebouwd object of een overig benoemd terrein.,Class,{7B33EB93-BAD8-4b36-90A1-B3909415EDC3},Door KING toegevoegd objecttype (maakt geen deel uit van enige basisregistratie).,<memo>,RSGB Model,,,,,
